 x, y
0.509881702484563, 0.323756906203926
0.304272808600217, 0.0117385489866138
0.564815347781405, 0.434346224879846
0.223580309655517, 0.202604667516425
0.73053024103865, 0.751123616239056
0.271594654768705, 0.712640198646113
0.978049112251028, 0.211221578996629
0.0922980816103518, 0.314287726767361
0.0348764406517148, 0.688157725147903
0.14110213634558, 0.47948362166062
0.925709040369838, 0.571140054846182
0.713170469738543, 0.020549122011289
0.82712148851715, 0.55401652189903
0.969540331047028, 0.054358828580007
0.980761939194053, 0.0733982010278851
0.0132247689180076, 0.801122679840773
0.0142939153593034, 0.265171059174463
0.979177507106215, 0.75120742036961
0.497577228816226, 0.872644594404846
0.0706896821502596, 0.20697143743746
0.194237118121237, 0.240045042475685
0.427117543760687, 0.00920809782110155
0.733372359769419, 0.421388100367039
0.506047366186976, 0.874420284293592
0.16285993414931, 0.956253814511001
0.980577770853415, 0.7346729808487
0.736700477544218, 0.551188859390095
0.955191372893751, 0.428604249609634
0.981311197392642, 0.903992098057643
0.356108167208731, 0.791878512129188
